[2025-10-11 10:53:55,225] INFO metadata written to /workspace/PixelWorld/assets/build/metadata.json
[2025-10-11 10:53:55,225] INFO import completed | audio=420, characters=134, effects=93, readme.md=1, tiles=167, ui=35, user_manifest.json=1
[2025-10-11 10:54:00,577] INFO preview start | build=/workspace/PixelWorld/assets/build
[2025-10-11 10:54:00,647] INFO preview completed | /workspace/PixelWorld/assets/build/preview_index.json generated (853 files)
[INFO] Start import (copy mode). Rules = default
[ERROR] 路径缺少分类信息: README.md
[ERROR] 路径缺少分类信息: user_manifest.json
[WARN] 未匹配的目录 characters/main/!$Gate2.png 已跳过
[WARN] 未匹配的目录 characters/main/Animal.png 已跳过
[WARN] 未匹配的目录 characters/main/People1.png 已跳过
[WARN] 未匹配的目录 characters/main/!Switch1.png 已跳过
[WARN] 未匹配的目录 characters/main/Vehicle.png 已跳过
[WARN] 未匹配的目录 characters/main/Monster1.png 已跳过
[WARN] 未匹配的目录 characters/main/$BigMonster2.png 已跳过
[WARN] 未匹配的目录 characters/main/People3.png 已跳过
[WARN] 未匹配的目录 characters/main/$BigMonster1.png 已跳过
[WARN] 未匹配的目录 characters/main/Actor3.png 已跳过
[WARN] 未匹配的目录 characters/main/Actor4.png 已跳过
[WARN] 未匹配的目录 characters/main/People4.png 已跳过
[WARN] 未匹配的目录 characters/main/!Other2.png 已跳过
[WARN] 未匹配的目录 characters/main/Evil.png 已跳过
[WARN] 未匹配的目录 characters/main/People5.png 已跳过
[WARN] 未匹配的目录 characters/main/Monster2.png 已跳过
[WARN] 未匹配的目录 characters/main/Actor5.png 已跳过
[WARN] 未匹配的目录 characters/main/People8.png 已跳过
[WARN] 未匹配的目录 characters/main/Behavior3.png 已跳过
[WARN] 未匹配的目录 characters/main/Actor1.png 已跳过
[WARN] 未匹配的目录 characters/main/Riding.png 已跳过
[WARN] 未匹配的目录 characters/main/Damage3.png 已跳过
[WARN] 未匹配的目录 characters/main/People2.png 已跳过
[WARN] 未匹配的目录 characters/main/!Door3.png 已跳过
[WARN] 未匹配的目录 characters/main/!Switch2.png 已跳过
[WARN] 未匹配的目录 characters/main/$Coffin.png 已跳过
[WARN] 未匹配的目录 characters/main/Spiritual.png 已跳过
[WARN] 未匹配的目录 characters/main/!Door2.png 已跳过
[WARN] 未匹配的目录 characters/main/Damage1.png 已跳过
[WARN] 未匹配的目录 characters/main/!Door1.png 已跳过
[WARN] 未匹配的目录 characters/main/!Crystal.png 已跳过
[WARN] 未匹配的目录 characters/main/Insane2.png 已跳过
[WARN] 未匹配的目录 characters/main/Insane1.png 已跳过
[WARN] 未匹配的目录 characters/main/Damage4.png 已跳过
[WARN] 未匹配的目录 characters/main/Behavior1.png 已跳过
[WARN] 未匹配的目录 characters/main/People7.png 已跳过
[WARN] 未匹配的目录 characters/main/Monster3.png 已跳过
[WARN] 未匹配的目录 characters/main/Behavior4.png 已跳过
[WARN] 未匹配的目录 characters/main/Actor2.png 已跳过
[WARN] 未匹配的目录 characters/main/!Flame.png 已跳过
[WARN] 未匹配的目录 characters/main/People6.png 已跳过
[WARN] 未匹配的目录 characters/main/Behavior2.png 已跳过
[WARN] 未匹配的目录 characters/main/!Other3.png 已跳过
[WARN] 未匹配的目录 characters/main/!Hexagram.png 已跳过
[WARN] 未匹配的目录 characters/main/!Chest.png 已跳过
[WARN] 未匹配的目录 characters/main/!Other1.png 已跳过
[WARN] 未匹配的目录 characters/main/!$Gate1.png 已跳过
[WARN] 未匹配的目录 characters/main/Damage2.png 已跳过
[WARN] 未匹配的目录 characters/faces/People1.png 已跳过
[WARN] 未匹配的目录 characters/faces/Monster1.png 已跳过
[WARN] 未匹配的目录 characters/faces/People3.png 已跳过
[WARN] 未匹配的目录 characters/faces/Actor3.png 已跳过
[WARN] 未匹配的目录 characters/faces/Actor4.png 已跳过
[WARN] 未匹配的目录 characters/faces/People4.png 已跳过
[WARN] 未匹配的目录 characters/faces/Evil.png 已跳过
[WARN] 未匹配的目录 characters/faces/Actor5.png 已跳过
[WARN] 未匹配的目录 characters/faces/Actor1.png 已跳过
[WARN] 未匹配的目录 characters/faces/People2.png 已跳过
[WARN] 未匹配的目录 characters/faces/Spiritual.png 已跳过
[WARN] 未匹配的目录 characters/faces/Actor2.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Assassin.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Evilgod.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Grappler_m.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Spider.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Asura.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Warrior_f.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Soldier.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Dragon.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Sahagin.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Wizard_m.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Gargoyle.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Snake.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Willowisp.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Angel.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Imp.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Mimic.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Plant.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Chimera.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Windspirit.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Swordman.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Thief_f.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Thief_m.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Kerberos.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Mage.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Garuda.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Bandit.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Behemoth.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Gayzer.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Werewolf.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Evilking.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Wizard_f.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Death.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Ogre.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Vampire.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Hornet.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Grappler_f.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Ifrit.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Lamia.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Ghost.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Rat.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Fanatic.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Cleric_f.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Firespirit.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Puppet.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Slime.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Fairy.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Zombie.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Hero_m.png 已跳过
[WARN] 未匹配的目录 characters/battlers/General.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Captain.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Goddess.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Earthspirit.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Icelady.png 已跳过
[WARN] 未匹配的目录 characters/battlers/God.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Paladin_f.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Warrior_m.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Hero_f.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Succubus.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Delf_f.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Delf_m.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Orc.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Darklord.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Cockatrice.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Minotaur.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Rogue.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Cleric_m.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Waterspirit.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Bat.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Skeleton.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Priest.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Scorpion.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Jellyfish.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Paladin_m.png 已跳过
[WARN] 未匹配的目录 characters/battlers/Demon.png 已跳过
[WARN] 未匹配的目录 effects/animations/Water1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Light3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Ice5.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special4.png 已跳过
[WARN] 未匹配的目录 effects/animations/Death1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Gun2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Light6.png 已跳过
[WARN] 未匹配的目录 effects/animations/Darkness2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Wind1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Fire3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Blow1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Heal3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special15.png 已跳过
[WARN] 未匹配的目录 effects/animations/Water2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Heal1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Thunder4.png 已跳过
[WARN] 未匹配的目录 effects/animations/State4.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack10.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword5.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special6.png 已跳过
[WARN] 未匹配的目录 effects/animations/Light2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack7.png 已跳过
[WARN] 未匹配的目录 effects/animations/Thunder2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Heal5.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Spear3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Fire1.png 已跳过
[WARN] 未匹配的目录 effects/animations/State5.png 已跳过
[WARN] 未匹配的目录 effects/animations/State3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Thunder3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack4.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack8.png 已跳过
[WARN] 未匹配的目录 effects/animations/Ice4.png 已跳过
[WARN] 未匹配的目录 effects/animations/State6.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special10.png 已跳过
[WARN] 未匹配的目录 effects/animations/Fire2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack6.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack11.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Spear2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Gun1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Fire4.png 已跳过
[WARN] 未匹配的目录 effects/animations/Earth1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Blow2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack5.png 已跳过
[WARN] 未匹配的目录 effects/animations/State2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack9.png 已跳过
[WARN] 未匹配的目录 effects/animations/Heal6.png 已跳过
[WARN] 未匹配的目录 effects/animations/Light4.png 已跳过
[WARN] 未匹配的目录 effects/animations/Heal2.png 已跳过
[WARN] 未匹配的目录 effects/animations/State1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack12.png 已跳过
[WARN] 未匹配的目录 effects/animations/Earth2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Light1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special16.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special13.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword6.png 已跳过
[WARN] 未匹配的目录 effects/animations/Heal4.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special14.png 已跳过
[WARN] 未匹配的目录 effects/animations/Spear1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Ice3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Wind3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special8.png 已跳过
[WARN] 未匹配的目录 effects/animations/Water3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Meteor.png 已跳过
[WARN] 未匹配的目录 effects/animations/Attack3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special9.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special12.png 已跳过
[WARN] 未匹配的目录 effects/animations/Earth3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword10.png 已跳过
[WARN] 未匹配的目录 effects/animations/Light7.png 已跳过
[WARN] 未匹配的目录 effects/animations/Ice1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special17.png 已跳过
[WARN] 未匹配的目录 effects/animations/Wind2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special11.png 已跳过
[WARN] 未匹配的目录 effects/animations/Darkness1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword7.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword8.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special7.png 已跳过
[WARN] 未匹配的目录 effects/animations/Darkness3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Thunder1.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword4.png 已跳过
[WARN] 未匹配的目录 effects/animations/Blow3.png 已跳过
[WARN] 未匹配的目录 effects/animations/Light5.png 已跳过
[WARN] 未匹配的目录 effects/animations/Sword9.png 已跳过
[WARN] 未匹配的目录 effects/animations/Ice2.png 已跳过
[WARN] 未匹配的目录 effects/animations/Special5.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/Mountains4.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/CloudySky1.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/Mountains2.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/Ocean2.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/Mountains5.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/BlueSky.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/Mountains3.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/DarkSpace2.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/CloudySky2.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/Mountains1.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/Ocean1.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/Sunset.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/SeaofClouds.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/DarkSpace1.png 已跳过
[WARN] 未匹配的目录 tiles/parallaxes/StarlitSky.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_A1.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_A4.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_C.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A3.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_C.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_B.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A2.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_B.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_B.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A2.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/World_A2.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_A5.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_A1.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A5.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_A2.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_A4.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/World_A2.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_C.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A4.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/World_B.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_A5.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A3.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_A2.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_A2.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_A4.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_B.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_A1.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_C.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/World_A1.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A1.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A1.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_A2.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_B.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_C.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/World_B.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_A1.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/World_A1.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Dungeon_A5.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A5.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_A5.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_C.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_A4.png 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Inside_B.txt 已跳过
[WARN] 未匹配的目录 tiles/tilesets/Outside_A4.txt 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Ruins1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/RockCave2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/DirtField.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Paved.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Road1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/PoisonSwamp.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/DemonicWorld1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/DemonicWorld2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Stone1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/RockCave1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Stone3.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Factory1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/DirtCave.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Lava2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Stone2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Clouds.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/DarkSpace.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Cobblestones4.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Castle.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Translucent.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Snowfield.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Ship.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Road2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Wasteland.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Factory2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Sky.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/DecorativeTile.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Dirt1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Crystal2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Meadow.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Cobblestones1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Dirt2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Road3.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Crystal1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/IceMaze.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/IceCave.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Ruins2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Fort.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/WireMesh.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Sand.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/DemonCastle.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Tent.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Cobblestones2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Grassland.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/LavaCave.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Ruins3.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Wood2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/GrassMaze.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Snow.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Lava1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/InBody.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Desert.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Cobblestones3.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks1/Wood1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/DemonCastle2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Castle1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Forest1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Crystal.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/RockCave.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Fort2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Fort1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Room2.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/PoisonSwamp.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Stone1.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Stone5.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Stone3.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Tower.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/DemonicWorld.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/DirtCave.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Port.png 已跳过
[WARN] 未匹配的目录 tiles/battlebacks2/Stone2.png 已跳过
